DF Rank,ADP Avg.,Name,Position,Bye Week,Consensus Points
1.,1.1 S,ChristiaMcCaffrey,RB,13,377
2.,1.2 S,DalviCook,RB,7,333
3.,1.3 S,AlviKamara,RB,6,311
4.,1.4 S,DerricHenry,RB,13,297
5.,1.5 S,EzekieElliott,RB,7,284
6.,1.6 S,TraviKelce,TE,12,299
7.,1.7 S,DavantAdams,WR,13,345
8.,1.8 S,JonathaTaylor,RB,14,279
9.,1.9 S,SaquoBarkley,RB,10,280
10,1.10 ,AustiEkeler,RB,7,283
11,1.11 ,NicChubb,RB,13,266
12,1.12 ,TyreeHill,WR,12,309
13,2.1 S,AaroJones,RB,13,270
14,2.2 S,StefoDiggs,WR,7,293
15,2.3 S,NajeHarris,RB,7,259
16,2.4 S,AntoniGibson,RB,9,256
17,2.5 S,DeAndrHopkins,WR,12,298
18,2.6 S,CalviRidley,WR,6,290
19,2.7 S,JoMixon,RB,10,263
20,2.8 S,D.KMetcalf,WR,9,281
21,2.9 S,DarreWaller,TE,8,254
22,2.10 ,ClydEdwards-Helaire,RB,12,242
23,2.11 ,JustiJefferson,WR,7,269
24,2.12 ,PatricMahomes,QB,12,458
25,3.1 S,A.JBrown,WR,13,271
26,3.2 S,J.KDobbins,RB,8,230
27,3.3 S,KeenaAllen,WR,7,257
28,3.4 S,GeorgKittle,TE,6,242
29,3.5 S,DaviMontgomery,RB,10,234
30,3.6 S,TerrMcLaurin,WR,9,258
31,3.7 S,D'AndrSwift,RB,9,238
32,3.8 S,CeeDeLamb,WR,7,240
33,3.9 S,AlleRobinson,WR,10,257
34,3.10 ,ChriCarson,RB,9,235
35,3.11 ,JosAllen,QB,7,447
36,3.12 ,JosJacobs,RB,8,220
37,4.1 S,RoberWoods,WR,11,244
38,4.2 S,MileSanders,RB,14,223
39,4.3 S,MikEvans,WR,9,246
40,4.4 S,AmarCooper,WR,7,247
41,4.5 S,ChriGodwin,WR,9,242
42,4.6 S,KyleMurray,QB,12,421
43,4.7 S,JuliJones,WR,13,237
44,4.8 S,CoopeKupp,WR,11,222
45,4.9 S,DiontaJohnson,WR,7,233
46,4.10 ,TyleLockett,WR,9,225
47,4.11 ,KylPitts,TE,6,202
48,4.12 ,AdaThielen,WR,7,224
49,5.1 S,LamaJackson,QB,8,413
50,5.2 S,JameRobinson,RB,7,237
51,5.3 S,D.JMoore,WR,13,230
52,5.4 S,MikDavis,RB,6,216
53,5.5 S,KareeHunt,RB,13,180
54,5.6 S,MyleGaskin,RB,14,185
55,5.7 S,DarrelHenderson,RB,11,180
56,5.8 S,JavontWilliams,RB,11,185
57,5.9 S,MarAndrews,TE,8,205
58,5.10 ,BrandoAiyuk,WR,6,206
59,5.11 ,DaPrescott,QB,7,409
60,5.12 ,T.JHockenson,TE,9,191
61,6.1 S,TeHiggins,WR,10,207
62,6.2 S,ChasEdmonds,RB,12,198
63,6.3 S,MichaeThomas,WR,6,205
64,6.4 S,AaroRodgers,QB,13,401
65,6.5 S,Ja'MarChase,WR,10,195
66,6.6 S,RusselWilson,QB,9,405
67,6.7 S,KennGolladay,WR,10,208
68,6.8 S,ChasClaypool,WR,7,197
69,6.9 S,JustiHerbert,QB,7,401
70,6.10 ,OdelBeckhaJr.,WR,13,204
71,6.11 ,JuJSmith-Schuster,WR,7,215
72,6.12 ,RaheeMostert,RB,6,174
73,7.1 S,JerrJeudy,WR,11,211
74,7.2 S,DamieHarris,RB,14,159
75,7.3 S,CourtlanSutton,WR,11,199
76,7.4 S,TreSermon,RB,6,152
77,7.5 S,MelviGordon,RB,11,162
78,7.6 S,ToBrady,QB,9,384
79,7.7 S,RobbAnderson,WR,13,206
80,7.8 S,MichaeCarter,RB,6,144
81,7.9 S,DeVontSmith,WR,14,187
82,7.10 ,LogaThomas,TE,9,157
83,7.11 ,RonalJones,RB,9,137
84,7.12 ,TyleBoyd,WR,10,200
85,8.1 S,DeebSamuel,WR,6,195
86,8.2 S,NoaFant,TE,11,174
87,8.3 S,D.JChark,WR,7,204
88,8.4 S,MattheStafford,QB,11,370
89,8.5 S,LeonarFournette,RB,9,152
90,8.6 S,DallaGoedert,TE,14,170
91,8.7 S,RyaTannehill,QB,13,371
92,8.8 S,ZacMoss,RB,7,152
93,8.9 S,AntoniBrown,WR,9,184
94,8.10 ,LaviskShenault,WR,7,194
95,8.11 ,BrandiCooks,WR,10,206
96,8.12 ,A.JDillon,RB,13,142
97,9.1 S,JaleHurts,QB,14,393
98,9.2 S,JameConner,RB,12,155
99,9.3 S,RoberTonyan,TE,13,158
10,9.4 S,KenyaDrake,RB,8,144
10,9.5 S,DaviJohnson,RB,10,130
10,9.6 S,TyleHigbee,TE,11,156
10,9.7 S,JarviLandry,WR,13,185
10,9.8 S,WilFuller,WR,14,194
10,9.9 S,JayleWaddle,WR,14,171
10,9.10 ,JoBurrow,QB,10,356
10,9.11 ,DeviSingletary,RB,7,132
10,9.12 ,CoreDavis,WR,6,193
10,10.1 ,JamaaWilliams,RB,9,144
11,10.2 ,MichaePittman,WR,14,163
11,10.3 ,MikWilliams,WR,7,197
11,10.4 ,CurtiSamuel,WR,9,178
11,10.5 ,MichaeGallup,WR,7,184
11,10.6 ,GuEdwards,RB,8,133
11,10.7 ,IrSmith,TE,7,152
11,10.8 ,DarnelMooney,WR,10,159
11,10.9 ,MarquisBrown,WR,8,167
11,10.10,TonPollard,RB,7,123
11,10.11,MecolHardman,WR,12,163
12,10.12,NyheiHines,RB,14,132
12,11.1 ,MikGesicki,TE,14,150
12,11.2 ,PittsburgSteelers,DEF,7,101
12,11.3 ,MarviJones,WR,7,192
12,11.4 ,LoAngeleRams,DEF,11,110
12,11.5 ,MatRyan,QB,6,342
12,11.6 ,J.DMcKissic,RB,9,119
12,11.7 ,HenrRuggs,WR,8,158
