,DF Rank,ADP Avg.,Name,Position,Bye Week,Consensus Points
0,1,1.1,ChristiaMcCaffrey,RB,13,287
1,2,1.2,DalviCook,RB,7,276
2,3,1.3,DerricHenry,RB,13,273
3,4,1.4,AlviKamara,RB,6,233
4,5,1.5,EzekieElliott,RB,7,229
5,6,1.6,DavantAdams,WR,13,225
6,7,1.7,AaroJones,RB,13,218
7,8,1.8,SaquoBarkley,RB,10,224
8,9,1.9,NicChubb,RB,13,236
9,10,1.1,TraviKelce,TE,12,194
10,11,1.11,TyreeHill,WR,12,216
11,12,1.12,JonathaTaylor,RB,14,237
12,13,2.1,StefoDiggs,WR,7,179
13,14,2.2,AustiEkeler,RB,7,198
14,15,2.3,AntoniGibson,RB,9,206
15,16,2.4,NajeHarris,RB,7,211
16,17,2.5,CalviRidley,WR,6,190
17,18,2.6,DeAndrHopkins,WR,12,183
18,19,2.7,JoMixon,RB,10,210
19,20,2.8,D.KMetcalf,WR,9,193
20,21,2.9,ClydEdwards-Helaire,RB,12,191
21,22,2.1,A.JBrown,WR,13,186
22,23,2.11,JustiJefferson,WR,7,179
23,24,2.12,DarreWaller,TE,8,155
24,25,3.1,PatricMahomes,QB,12,458
25,26,3.2,KeenaAllen,WR,7,151
26,27,3.3,J.KDobbins,RB,8,197
27,28,3.4,GeorgKittle,TE,6,153
28,29,3.5,CeeDeLamb,WR,7,155
29,30,3.6,TerrMcLaurin,WR,9,164
30,31,3.7,AlleRobinson,WR,10,161
31,32,3.8,DaviMontgomery,RB,10,194
32,33,3.9,ChriCarson,RB,9,192
33,34,3.1,D'AndrSwift,RB,9,181
34,35,3.11,RoberWoods,WR,11,151
35,36,3.12,MikEvans,WR,9,168
36,37,4.1,AmarCooper,WR,7,151
37,38,4.2,JosAllen,QB,7,447
38,39,4.3,JosJacobs,RB,8,190
39,40,4.4,ChriGodwin,WR,9,157
40,41,4.5,CoopeKupp,WR,11,136
41,42,4.6,TyleLockett,WR,9,135
42,43,4.7,MileSanders,RB,14,181
43,44,4.8,JuliJones,WR,13,156
44,45,4.9,DarrelHenderson,RB,11,149
45,46,4.1,KyleMurray,QB,12,421
46,47,4.11,KylPitts,TE,6,126
47,48,4.12,D.JMoore,WR,13,151
48,49,5.1,LamaJackson,QB,8,413
49,50,5.2,DiontaJohnson,WR,7,139
50,51,5.3,AdaThielen,WR,7,145
51,52,5.4,BrandoAiyuk,WR,6,136
52,53,5.5,KareeHunt,RB,13,141
53,54,5.6,MyleGaskin,RB,14,141
54,55,5.7,MikDavis,RB,6,169
55,56,5.8,TeHiggins,WR,10,132
56,57,5.9,MarAndrews,TE,8,135
57,58,5.1,JameRobinson,RB,7,188
58,59,5.11,T.JHockenson,TE,9,114
59,60,5.12,ChasClaypool,WR,7,130
60,61,6.1,Ja'MarChase,WR,10,123
61,62,6.2,OdelBeckhaJr.,WR,13,133
62,63,6.3,DaPrescott,QB,7,409
63,64,6.4,JavontWilliams,RB,11,153
64,65,6.5,JerrJeudy,WR,11,135
65,66,6.6,JustiHerbert,QB,7,401
66,67,6.7,ChasEdmonds,RB,12,148
67,68,6.8,KennGolladay,WR,10,139
68,69,6.9,RusselWilson,QB,9,405
69,70,6.1,AaroRodgers,QB,13,401
70,71,6.11,RaheeMostert,RB,6,147
71,72,6.12,RobbAnderson,WR,13,124
72,73,7.1,DamieHarris,RB,14,142
73,74,7.2,DeebSamuel,WR,6,125
74,75,7.3,CourtlanSutton,WR,11,129
75,76,7.4,TreSermon,RB,6,128
76,77,7.5,TyleBoyd,WR,10,115
77,78,7.6,JuJSmith-Schuster,WR,7,127
78,79,7.7,AntoniBrown,WR,9,113
79,80,7.8,DeVontSmith,WR,14,122
80,81,7.9,MichaeThomas,WR,6,130
81,82,7.1,LogaThomas,TE,9,91
82,83,7.11,RonalJones,RB,9,121
83,84,7.12,ToBrady,QB,9,384
84,85,8.1,MichaeCarter,RB,6,110
85,86,8.2,NoaFant,TE,11,103
86,87,8.3,MelviGordon,RB,11,134
87,88,8.4,LaviskShenault,WR,7,120
88,89,8.5,D.JChark,WR,7,134
89,90,8.6,A.JDillon,RB,13,123
90,91,8.7,MattheStafford,QB,11,370
91,92,8.8,BrandiCooks,WR,10,130
92,93,8.9,ZacMoss,RB,7,125
93,94,8.1,MikWilliams,WR,7,137
94,95,8.11,WilFuller,WR,14,128
95,96,8.12,DallaGoedert,TE,14,105
96,97,9.1,RyaTannehill,QB,13,371
97,98,9.2,LeonarFournette,RB,9,123
