DF Rank,ADP Avg.,Name,Position,Bye Week,Consensus Points
1.,1.1 S,ChristiaMcCaffrey,RB,13,287
2.,1.2 S,DalviCook,RB,7,276
3.,1.3 S,DerricHenry,RB,13,273
4.,1.4 S,AlviKamara,RB,6,233
5.,1.5 S,EzekieElliott,RB,7,229
6.,1.6 S,NicChubb,RB,13,236
7.,1.7 S,DavantAdams,WR,13,225
8.,1.8 S,SaquoBarkley,RB,10,224
9.,1.9 S,AaroJones,RB,13,218
10,1.10 ,JonathaTaylor,RB,14,237
11,1.11 ,TraviKelce,TE,12,194
12,1.12 ,TyreeHill,WR,12,216
13,2.1 S,AustiEkeler,RB,7,198
14,2.2 S,NajeHarris,RB,7,211
15,2.3 S,StefoDiggs,WR,7,179
16,2.4 S,PatricMahomes,QB,12,458
17,2.5 S,AntoniGibson,RB,9,206
18,2.6 S,DeAndrHopkins,WR,12,183
19,2.7 S,JoMixon,RB,10,210
20,2.8 S,D.KMetcalf,WR,9,193
21,2.9 S,ClydEdwards-Helaire,RB,12,191
22,2.10 ,CalviRidley,WR,6,190
23,2.11 ,J.KDobbins,RB,8,197
24,2.12 ,A.JBrown,WR,13,186
25,3.1 S,JustiJefferson,WR,7,179
26,3.2 S,DarreWaller,TE,8,155
27,3.3 S,JosJacobs,RB,8,190
28,3.4 S,GeorgKittle,TE,6,153
29,3.5 S,DaviMontgomery,RB,10,194
30,3.6 S,JosAllen,QB,7,447
31,3.7 S,KeenaAllen,WR,7,151
32,3.8 S,ChriCarson,RB,9,192
33,3.9 S,TerrMcLaurin,WR,9,164
34,3.10 ,D'AndrSwift,RB,9,181
35,3.11 ,CeeDeLamb,WR,7,155
36,3.12 ,MileSanders,RB,14,181
37,4.1 S,KyleMurray,QB,12,421
38,4.2 S,MikEvans,WR,9,168
39,4.3 S,AlleRobinson,WR,10,161
40,4.4 S,JuliJones,WR,13,156
41,4.5 S,LamaJackson,QB,8,413
42,4.6 S,RoberWoods,WR,11,151
43,4.7 S,AdaThielen,WR,7,145
44,4.8 S,KylPitts,TE,6,126
45,4.9 S,ChriGodwin,WR,9,157
46,4.10 ,AmarCooper,WR,7,151
47,4.11 ,MyleGaskin,RB,14,141
48,4.12 ,KareeHunt,RB,13,141
49,5.1 S,JameRobinson,RB,7,188
50,5.2 S,DaPrescott,QB,7,409
51,5.3 S,CoopeKupp,WR,11,136
52,5.4 S,DarrelHenderson,RB,11,149
53,5.5 S,MarAndrews,TE,8,135
54,5.6 S,TyleLockett,WR,9,135
55,5.7 S,AaroRodgers,QB,13,401
56,5.8 S,MikDavis,RB,6,169
57,5.9 S,T.JHockenson,TE,9,114
58,5.10 ,JustiHerbert,QB,7,401
59,5.11 ,RaheeMostert,RB,6,147
60,5.12 ,DiontaJohnson,WR,7,139
61,6.1 S,RusselWilson,QB,9,405
62,6.2 S,D.JMoore,WR,13,151
63,6.3 S,BrandoAiyuk,WR,6,136
64,6.4 S,JavontWilliams,RB,11,153
65,6.5 S,ChasEdmonds,RB,12,148
66,6.6 S,Ja'MarChase,WR,10,123
67,6.7 S,MichaeThomas,WR,6,130
68,6.8 S,OdelBeckhaJr.,WR,13,133
69,6.9 S,ChasClaypool,WR,7,130
70,6.10 ,MelviGordon,RB,11,134
71,6.11 ,DamieHarris,RB,14,142
72,6.12 ,TeHiggins,WR,10,132
73,7.1 S,KennGolladay,WR,10,139
74,7.2 S,ToBrady,QB,9,384
75,7.3 S,RonalJones,RB,9,121
76,7.4 S,CourtlanSutton,WR,11,129
77,7.5 S,MichaeCarter,RB,6,110
78,7.6 S,LeonarFournette,RB,9,123
79,7.7 S,DeVontSmith,WR,14,122
80,7.8 S,JuJSmith-Schuster,WR,7,127
81,7.9 S,MattheStafford,QB,11,370
82,7.10 ,JerrJeudy,WR,11,135
83,7.11 ,TreSermon,RB,6,128
84,7.12 ,RoGronkowski,TE,9,97
85,8.1 S,D.JChark,WR,7,134
86,8.2 S,LogaThomas,TE,9,91
87,8.3 S,ZacMoss,RB,7,125
88,8.4 S,RobbAnderson,WR,13,124
89,8.5 S,RyaTannehill,QB,13,371
90,8.6 S,DallaGoedert,TE,14,105
91,8.7 S,JameConner,RB,12,125
92,8.8 S,A.JDillon,RB,13,123
93,8.9 S,AntoniBrown,WR,9,113
94,8.10 ,TyleBoyd,WR,10,115
95,8.11 ,RoberTonyan,TE,13,103
96,8.12 ,JaleHurts,QB,14,393
97,9.1 S,DeebSamuel,WR,6,125
98,9.2 S,JarviLandry,WR,13,110
99,9.3 S,DeviSingletary,RB,7,101
10,9.4 S,DaviJohnson,RB,10,99
10,9.5 S,JoBurrow,QB,10,356
10,9.6 S,KenyaDrake,RB,8,107
