,PLAYER NAME,TEAM,RK,TIERS,SOS SEASON,BYE WEEK
0,Patrick Mahomes II,KC,28,3,4,12
1,Josh Allen,BUF,42,4,1,7
2,Kyler Murray,ARI,53,4,2,12
3,Lamar Jackson,BAL,57,4,2,8
4,Dak Prescott,DAL,61,5,2,7
5,Russell Wilson,SEA,66,5,0,9
6,Aaron Rodgers,GB,69,5,2,13
7,Justin Herbert,LAC,73,5,2,7
8,Ryan Tannehill,TEN,83,6,2,13
9,Tom Brady,TB,89,6,2,9
10,Matthew Stafford,LAR,93,6,4,11
11,Jalen Hurts,PHI,95,6,4,14
12,Joe Burrow,CIN,108,6,2,10
13,Matt Ryan,ATL,127,7,3,6
14,Trevor Lawrence,JAC,129,7,4,7
15,Kirk Cousins,MIN,134,7,3,7
16,Baker Mayfield,CLE,137,7,3,13
17,Tua Tagovailoa,MIA,140,7,4,14
18,Ryan Fitzpatrick,WAS,153,7,4,9
19,Justin Fields,CHI,155,7,2,10
20,Ben Roethlisberger,PIT,157,7,4,7
21,Daniel Jones,NYG,160,8,4,10
22,Derek Carr,LV,162,8,3,8
23,Trey Lance,SF,179,8,5,6
24,Zach Wilson,NYJ,183,8,3,6
25,Sam Darnold,CAR,188,8,4,13
26,Carson Wentz,IND,201,8,4,14
27,Jared Goff,DET,205,8,1,9
