RK,PLAYER NAME,TEAM,POS,BEST,WORST,AVG.,STD.DEV
1,Christian McCaffrey,CAR,RB1,1,8,1.3,1
2,Dalvin Cook,MIN,RB2,1,8,2.8,1.7
3,Alvin Kamara,NO,RB3,1,8,3.6,1.7
4,Davante Adams,GB,WR1,3,17,4.5,1.6
5,Tyreek Hill,KC,WR2,4,20,5.8,2.6
6,Nick Chubb,CLE,RB4,1,21,6.9,3.2
7,Aaron Jones,GB,RB5,1,22,7.1,3.3
8,Derrick Henry,TEN,RB6,1,31,9,4.7
9,DeAndre Hopkins,ARI,WR3,5,20,9.7,2.5
10,Travis Kelce,KC,TE1,6,42,9.9,3.8
11,Stefon Diggs,BUF,WR4,5,29,11.8,3.5
12,Joe Mixon,CIN,RB7,6,25,13.7,3.8
13,D.K. Metcalf,SEA,WR5,5,30,14.6,3.7
14,Najee Harris,PIT,RB8,8,27,15.4,4.3
15,Antonio Gibson,WAS,RB9,6,38,16.5,4.4
16,Keenan Allen,LAC,WR6,7,32,17.1,4.4
17,Austin Ekeler,LAC,RB10,7,28,17.2,4.2
18,Calvin Ridley,ATL,WR7,5,32,17.9,4.8
19,Ezekiel Elliott,DAL,RB11,8,44,19.3,4.6
20,A.J. Brown,TEN,WR8,9,34,20.6,4.9
21,Jonathan Taylor,IND,RB12,3,36,21.4,4.4
22,Chris Carson,SEA,RB13,8,43,22.1,5.1
23,Justin Jefferson,MIN,WR9,11,34,22.5,4.5
24,Amari Cooper,DAL,WR10,9,34,23.8,4.8
25,David Montgomery,CHI,RB14,12,48,24.3,5.9
26,Darren Waller,LV,TE2,10,70,26.7,7.3
27,D'Andre Swift,DET,RB15,8,46,27.1,6.1
28,CeeDee Lamb,DAL,WR11,14,45,27.4,4.2
29,Tyler Lockett,SEA,WR12,14,44,27.6,5
30,Allen Robinson II,CHI,WR13,17,39,29.8,3.8
31,Cooper Kupp,LAR,WR14,17,51,32.1,4.5
32,Adam Thielen,MIN,WR15,17,52,32.8,4.4
33,Chris Godwin,TB,WR16,5,66,33.3,7.3
34,Terry McLaurin,WAS,WR17,25,55,36.3,5.2
35,Mike Evans,TB,WR18,19,73,37.5,7.6
36,Clyde Edwards-Helaire,KC,RB16,23,60,37.6,5.7
37,Damien Harris,NE,RB17,21,78,38.9,8.1
38,Diontae Johnson,PIT,WR19,29,58,39.3,5.3
39,Miles Sanders,PHI,RB18,23,62,40.7,5.5
40,D.J. Moore,CAR,WR20,30,63,41.7,7.2
41,Deebo Samuel,SF,WR21,25,61,43.1,7.2
42,Darrell Henderson Jr.,LAR,RB19,22,69,43.2,6.6
43,George Kittle,SF,TE3,20,74,43.6,8.3
44,Tee Higgins,CIN,WR22,33,61,44.4,6.7
45,Antonio Brown,TB,WR23,27,73,45.7,7.7
46,Kareem Hunt,CLE,RB20,28,80,47.3,8.8
47,Robert Woods,LAR,WR24,31,64,47.5,6.7
48,Myles Gaskin,MIA,RB21,39,98,49.9,8.3
49,Julio Jones,TEN,WR25,30,75,50.6,7.6
50,Saquon Barkley,NYG,RB22,13,119,52,16.6
51,Melvin Gordon III,DEN,RB23,35,87,52.8,10.2
52,Ja'Marr Chase,CIN,WR26,35,81,53.6,6
53,T.J. Hockenson,DET,TE4,26,91,55.2,11.3
54,Mike Williams,LAC,WR27,32,81,56.8,8.2
55,Chase Claypool,PIT,WR28,47,81,57.6,5.2
56,Chase Edmonds,ARI,RB24,38,80,57.8,10.3
57,Brandin Cooks,HOU,WR29,47,77,58.4,4.8
58,DeVonta Smith,PHI,WR30,39,77,59.7,5.6
59,Courtland Sutton,DEN,WR31,34,103,59.9,7.2
60,Jarvis Landry,CLE,WR32,34,84,60.9,7.7
61,Ty'Son Williams,BAL,RB25,42,114,61.2,14.1
62,Elijah Mitchell,SF,RB26,35,130,61.9,16.7
63,Corey Davis,NYJ,WR33,45,77,63.4,5.5
64,JuJu Smith-Schuster,PIT,WR34,38,101,64.2,7
65,Robby Anderson,CAR,WR35,48,116,65.9,9.3
66,James Robinson,JAC,RB27,22,102,67.2,16.5
67,Tyler Boyd,CIN,WR36,52,95,68.3,5.7
68,Mark Andrews,BAL,TE5,26,92,69.5,9.3
69,Josh Jacobs,LV,RB28,42,130,69.7,14.7
70,Javonte Williams,DEN,RB29,42,101,69.9,12.7
71,Laviska Shenault Jr.,JAC,WR37,54,97,72.7,8.2
