"RK","PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV"
"1","Christian McCaffrey",CAR,"RB1","1","1","1.0","0.0"
"2","Dalvin Cook",MIN,"RB2","2","4","2.3","0.6"
"3","Derrick Henry",TEN,"RB3","2","3","2.8","0.4"
"4","Davante Adams",GB,"WR1","5","9","5.6","1.0"
"5","Tyreek Hill",KC,"WR2","5","9","5.9","0.8"
"6","Alvin Kamara",NO,"RB4","4","12","6.5","2.7"
"7","Aaron Jones",GB,"RB5","4","11","7.0","2.7"
"8","Travis Kelce",KC,"TE1","7","8","7.4","0.5"
"9","Nick Chubb",CLE,"RB6","4","20","10.1","3.0"
"10","DeAndre Hopkins",ARI,"WR3","5","13","10.7","2.2"
"11","Austin Ekeler",LAC,"RB7","7","20","10.7","2.7"
"12","Stefon Diggs",BUF,"WR4","9","17","11.3","2.6"
"13","D.K. Metcalf",SEA,"WR5","14","17","14.7","1.1"
"14","Calvin Ridley",ATL,"WR6","14","18","15.2","1.0"
"15","Jonathan Taylor",IND,"RB8","11","28","17.2","5.8"
"16","Keenan Allen",LAC,"WR7","14","21","17.3","2.0"
"17","Tyler Lockett",SEA,"WR8","13","21","17.4","2.2"
"18","Justin Jefferson",MIN,"WR9","14","21","17.8","1.9"
"19","Najee Harris",PIT,"RB9","10","26","19.1","5.5"
"20","CeeDee Lamb",DAL,"WR10","17","25","19.5","2.6"
"21","A.J. Brown",TEN,"WR11","16","32","21.1","3.5"
"22","Cooper Kupp",LAR,"WR12","16","32","21.4","4.3"
"23","Darren Waller",LV,"TE2","20","23","21.8","1.5"
"24","Ezekiel Elliott",DAL,"RB10","11","29","22.1","5.3"
"25","Joe Mixon",CIN,"RB11","12","29","24.4","3.5"
"26","Chris Carson",SEA,"RB12","20","31","27.7","3.0"
"27","Saquon Barkley",NYG,"RB13","26","30","27.7","1.7"
"28","Amari Cooper",DAL,"WR13","19","36","27.8","5.4"
"29","Antonio Gibson",WAS,"RB14","25","36","28.7","2.3"
"30","David Montgomery",CHI,"RB15","22","49","29.2","5.3"
"31","Miles Sanders",PHI,"RB16","24","34","30.6","1.9"
"32","D.J. Moore",CAR,"WR14","27","36","31.9","2.9"
"33","Allen Robinson II",CHI,"WR15","25","40","33.9","3.3"
"34","Terry McLaurin",WAS,"WR16","28","39","34.0","3.3"
"35","D'Andre Swift",DET,"RB17","31","43","35.1","2.9"
"36","Chris Godwin",TB,"WR17","28","41","35.6","3.2"
"37","Adam Thielen",MIN,"WR18","28","42","36.7","3.6"
"38","Deebo Samuel",SF,"WR19","32","48","38.9","4.5"
"39","Clyde Edwards-Helaire",KC,"RB18","37","47","40.7","2.0"
"40","Mike Evans",TB,"WR20","38","49","41.3","3.3"
"41","Damien Harris",NE,"RB19","37","61","41.9","6.8"
"42","Julio Jones",TEN,"WR21","38","51","43.7","3.6"
"43","Myles Gaskin",MIA,"RB20","42","57","46.4","4.7"
"44","Mike Williams",LAC,"WR22","41","54","47.0","3.8"
"45","Robert Woods",LAR,"WR23","40","60","47.8","4.6"
"46","Tee Higgins",CIN,"WR24","43","55","48.2","3.5"
"47","Ty'Son Williams",BAL,"RB21","29","66","48.6","10.2"
"48","Courtland Sutton",DEN,"WR25","38","56","49.6","5.2"
"49","Diontae Johnson",PIT,"WR26","43","58","50.2","4.6"
"50","Chase Edmonds",ARI,"RB22","36","71","50.4","8.1"
"51","Kareem Hunt",CLE,"RB23","42","68","50.8","8.3"
"52","DeVonta Smith",PHI,"WR27","44","58","53.2","3.0"
"53","Antonio Brown",TB,"WR28","45","88","53.7","10.6"
"54","T.J. Hockenson",DET,"TE3","48","59","54.8","3.9"
"55","Ja'Marr Chase",CIN,"WR29","50","69","55.3","4.7"
"56","George Kittle",SF,"TE4","48","66","55.4","4.4"
"57","Elijah Mitchell",SF,"RB24","41","72","56.7","8.3"
"58","Marquise Brown",BAL,"WR30","40","70","57.5","7.7"
"59","Chase Claypool",PIT,"WR31","51","70","58.6","4.3"
"60","Melvin Gordon III",DEN,"RB25","45","71","59.7","6.0"
"61","Sterling Shepard",NYG,"WR32","51","68","60.6","4.8"
"62","Brandin Cooks",HOU,"WR33","49","68","61.6","5.2"
"63","Javonte Williams",DEN,"RB26","45","72","61.9","7.0"
"64","JuJu Smith-Schuster",PIT,"WR34","60","68","63.6","2.1"
