"RK","PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV"
"1","Christian McCaffrey",CAR,"RB1","1","1","1.0","0.0"
"2","Davante Adams",GB,"WR1","2","6","2.9","1.4"
"3","Jonathan Taylor",IND,"RB2","3","5","3.4","0.7"
"4","Dalvin Cook",MIN,"RB3","3","4","3.6","0.5"
"5","Najee Harris",PIT,"RB4","4","7","5.3","0.9"
"6","Tyreek Hill",KC,"WR2","2","6","5.6","1.3"
"7","Nick Chubb",CLE,"RB5","5","9","6.8","1.5"
"8","Stefon Diggs",BUF,"WR3","8","8","8.0","0.0"
"9","Ezekiel Elliott",DAL,"RB6","7","13","9.4","1.8"
"10","A.J. Brown",TEN,"WR4","10","14","10.8","1.5"
"11","Austin Ekeler",LAC,"RB7","10","14","11.2","1.0"
"12","CeeDee Lamb",DAL,"WR5","12","20","13.4","2.6"
"13","Joe Mixon",CIN,"RB8","9","21","14.7","3.3"
"14","Travis Kelce",KC,"TE1","12","15","14.7","0.9"
"15","Mike Evans",TB,"WR6","13","24","15.2","3.5"
"16","Justin Jefferson",MIN,"WR7","16","16","16.0","0.0"
"17","Deebo Samuel",SF,"WR8","12","20","16.2","2.3"
"18","D'Andre Swift",DET,"RB9","14","21","17.8","2.3"
"19","Chris Godwin",TB,"WR9","18","25","19.3","2.5"
"20","George Kittle",SF,"TE2","20","28","21.3","2.7"
"21","D.K. Metcalf",SEA,"WR10","18","25","21.9","1.7"
"22","AJ Dillon",GB,"RB10","19","26","22.0","2.9"
"23","James Conner",ARI,"RB11","21","28","23.6","2.7"
"24","Michael Pittman Jr.",IND,"WR11","23","39","26.0","4.8"
"25","Marquise Brown",BAL,"WR12","24","34","26.1","3.4"
"26","Leonard Fournette",TB,"RB12","23","29","26.9","2.2"
"27","Amari Cooper",DAL,"WR13","24","38","27.8","5.0"
"28","Keenan Allen",LAC,"WR14","25","31","28.3","2.0"
"29","Ja'Marr Chase",CIN,"WR15","12","49","30.8","12.3"
"30","James Robinson",JAC,"RB13","28","35","30.9","2.6"
"31","Saquon Barkley",NYG,"RB14","28","33","31.6","1.9"
"32","Terry McLaurin",WAS,"WR16","30","44","33.4","4.8"
"33","Tyler Lockett",SEA,"WR17","31","40","33.9","2.7"
"34","David Montgomery",CHI,"RB15","26","39","34.2","4.3"
"35","Elijah Mitchell",SF,"RB16","29","43","34.2","4.0"
"36","Diontae Johnson",PIT,"WR18","30","37","34.6","2.2"
"37","Adam Thielen",MIN,"WR19","31","49","37.6","5.1"
"38","Josh Jacobs",LV,"RB17","35","43","38.3","3.2"
"39","D.J. Moore",CAR,"WR20","37","44","38.9","2.3"
"40","Michael Carter",NYJ,"RB18","35","45","40.2","2.6"
"41","Jaylen Waddle",MIA,"WR21","41","44","42.6","1.2"
"42","Darren Waller",LV,"TE3","24","50","43.3","9.3"
"43","Antonio Gibson",WAS,"RB19","40","47","43.7","1.9"
"44","Tee Higgins",CIN,"WR22","37","49","44.0","4.0"
"45","DeAndre Hopkins",ARI,"WR23","37","55","44.1","5.9"
"46","Myles Gaskin",MIA,"RB20","40","50","45.1","2.4"
"47","Mike Williams",LAC,"WR24","41","54","45.2","4.8"
"48","Mark Andrews",BAL,"TE4","48","50","49.6","0.8"
"49","Hunter Renfrow",LV,"WR25","44","54","50.2","3.3"
"50","DeVonta Smith",PHI,"WR26","44","54","50.9","3.4"
"51","Rhamondre Stevenson",NE,"RB21","32","69","51.3","10.6"
"52","Mark Ingram II",NO,"RB22","46","75","52.0","10.8"
"53","T.J. Hockenson",DET,"TE5","51","73","54.3","6.9"
"54","Christian Kirk",ARI,"WR27","54","60","55.9","1.6"
"55","Brandin Cooks",HOU,"WR28","46","62","57.2","5.6"
"56","Corey Davis",NYJ,"WR29","56","59","57.2","1.0"
"57","Kyle Pitts",ATL,"TE6","51","59","57.4","2.3"
"58","Emmanuel Sanders",BUF,"WR30","55","64","57.6","3.2"
"59","Jarvis Landry",CLE,"WR31","57","64","59.8","2.3"
"60","Cole Beasley",BUF,"WR32","58","61","59.9","0.9"
"61","Devonta Freeman",BAL,"RB23","53","68","61.3","6.2"
"62","Rashod Bateman",BAL,"WR33","60","64","61.8","1.3"
"63","Clyde Edwards-Helaire",KC,"RB24","53","79","64.0","8.7"
