RK,Team,Name,Position,Position Rank,Ceiling,Average,Floor,Standard Deviation
1,TEN,Derrick Henry,RB,1,1,1.0,1,0.0
2,NO,Alvin Kamara,RB,2,2,2.3,3,0.5
3,LAC,Austin Ekeler,RB,3,2,3.8,11,2.3
4,GB,Davante Adams,WR,1,3,4.5,9,1.4
5,LAR,Cooper Kupp,WR,2,4,6.3,10,2.0
6,KC,Travis Kelce,TE,1,6,6.8,7,0.4
7,CLE,Nick Chubb,RB,4,6,7.8,17,2.8
8,CIN,Joe Mixon,RB,5,3,8.1,11,2.4
9,KC,Tyreek Hill,WR,3,4,8.2,13,2.5
10,BUF,Stefon Diggs,WR,4,5,9.4,12,1.5
11,GB,Aaron Jones,RB,6,6,10.9,17,3.6
12,SEA,D.K. Metcalf,WR,5,10,13.7,22,3.2
13,LV,Darren Waller,TE,2,14,14.3,18,1.1
14,PIT,Najee Harris,RB,7,11,16.3,22,3.3
15,MIN,Justin Jefferson,WR,6,12,16.7,28,3.8
16,CAR,D.J. Moore,WR,7,13,17.4,25,3.5
17,ATL,Calvin Ridley,WR,8,13,19.3,28,4.1
18,LAC,Keenan Allen,WR,9,11,19.6,30,6.3
19,DAL,CeeDee Lamb,WR,10,12,19.9,41,7.8
20,IND,Jonathan Taylor,RB,8,17,20.1,26,2.9
21,DET,D'Andre Swift,RB,9,18,22.1,29,3.0
22,SEA,Tyler Lockett,WR,11,13,23.0,31,5.3
23,WAS,Terry McLaurin,WR,12,12,23.1,32,5.8
24,CHI,David Montgomery,RB,10,17,23.7,27,2.4
25,DAL,Ezekiel Elliott,RB,11,18,23.7,33,3.8
26,SEA,Chris Carson,RB,12,22,25.5,36,3.6
27,WAS,Antonio Gibson,RB,13,22,25.8,28,1.7
28,NYG,Saquon Barkley,RB,14,20,28.8,51,8.3
29,ARI,DeAndre Hopkins,WR,13,20,29.0,38,3.7
30,LAC,Mike Williams,WR,14,16,30.2,39,6.7
31,TB,Chris Godwin,WR,15,21,30.5,34,3.2
32,MIN,Adam Thielen,WR,16,28,33.5,41,3.6
33,DAL,Amari Cooper,WR,17,30,33.6,39,2.9
34,SF,Deebo Samuel,WR,18,32,34.1,38,1.7
35,CIN,Ja'Marr Chase,WR,19,31,36.8,48,4.7
36,PHI,Miles Sanders,RB,15,27,37.8,51,6.9
37,KC,Clyde Edwards-Helaire,RB,16,26,37.9,50,5.9
38,TB,Mike Evans,WR,20,34,39.6,43,2.5
39,TEN,Julio Jones,WR,21,30,40.9,76,11.0
40,CLE,Kareem Hunt,RB,17,37,43.5,56,6.8
41,JAC,James Robinson,RB,18,37,43.6,54,5.3
42,DEN,Courtland Sutton,WR,22,39,44.7,61,5.1
43,CHI,Allen Robinson II,WR,23,39,44.9,61,5.3
44,SF,George Kittle,TE,3,44,47.5,60,5.8
45,HOU,Brandin Cooks,WR,24,41,48.2,62,5.3
46,LAR,Robert Woods,WR,25,46,48.2,52,1.8
47,BAL,Marquise Brown,WR,26,39,48.7,57,5.0
48,CAR,Chuba Hubbard,RB,19,36,49.4,59,8.5
49,PIT,Chase Claypool,WR,27,43,49.4,63,4.4
50,MIA,Myles Gaskin,RB,20,42,52.7,61,5.8
51,JAC,Marvin Jones Jr.,WR,28,43,53.4,63,6.3
52,CIN,Tyler Boyd,WR,29,46,54.4,66,5.5
53,ARI,Chase Edmonds,RB,21,50,54.8,64,4.3
54,CLE,Odell Beckham Jr.,WR,30,49,55.4,72,5.8
55,DEN,Melvin Gordon III,RB,22,51,56.7,64,4.8
56,DET,T.J. Hockenson,TE,4,44,57.7,79,8.7
57,NE,Damien Harris,RB,23,54,62.3,81,9.4
58,DEN,Javonte Williams,RB,24,58,63.6,83,7.4
59,MIN,Alexander Mattison,RB,25,33,64.4,110,21.4
60,IND,Michael Pittman Jr.,WR,31,57,64.7,75,4.6
61,TB,Antonio Brown,WR,32,48,65.5,95,12.6
62,NYJ,Corey Davis,WR,33,63,66.5,72,2.6
63,PHI,DeVonta Smith,WR,34,55,67.6,99,14.1
64,NE,Jakobi Meyers,WR,35,57,67.7,84,7.5
65,ATL,Mike Davis,RB,26,64,69.2,87,6.4
66,CIN,Tee Higgins,WR,36,43,69.5,138,27.7
67,BAL,Mark Andrews,TE,5,55,69.5,79,5.6
68,PIT,JuJu Smith-Schuster,WR,37,55,69.8,89,9.9
69,BUF,Cole Beasley,WR,38,62,70.2,77,4.1
70,JAC,D.J. Chark Jr.,WR,39,58,71.3,114,13.1
71,CAR,Robby Anderson,WR,40,62,72.1,89,9.6
72,NYG,Kenny Golladay,WR,41,66,72.2,84,5.1
73,BUF,Zack Moss,RB,27,56,74.0,90,9.8
74,BAL,Ty'Son Williams,RB,28,67,77.3,107,10.8
75,MIA,Jaylen Waddle,WR,42,69,78.3,84,4.3
76,WAS,Logan Thomas,TE,6,71,79.5,87,5.4
77,DEN,Noah Fant,TE,7,76,80.5,87,2.6
78,SF,Brandon Aiyuk,WR,43,57,80.7,104,13.1
79,DEN,Tim Patrick,WR,44,72,81.1,94,6.5
80,SF,Trey Sermon,RB,29,65,81.5,122,12.8
81,DET,Jamaal Williams,RB,30,72,81.9,97,5.7
82,TB,Leonard Fournette,RB,31,74,82.9,107,9.9
83,IND,Nyheim Hines,RB,32,56,83.3,105,10.5
