,PLAYER NAME,TEAM,RK,TIERS,SOS SEASON,BYE WEEK
0,Los Angeles Rams,LAR,164,8,3,11
1,Pittsburgh Steelers,PIT,165,8,2,7
2,Baltimore Ravens,BAL,171,8,2,8
3,Washington Football Team,WAS,175,8,2,9
4,San Francisco 49ers,SF,176,8,3,6
5,Tampa Bay Buccaneers,TB,177,8,5,9
6,Indianapolis Colts,IND,186,8,2,14
7,New England Patriots,NE,190,8,0,14
8,Buffalo Bills,BUF,192,8,3,7
9,New Orleans Saints,NO,204,8,3,6
10,Kansas City Chiefs,KC,206,8,1,12
11,Denver Broncos,DEN,213,9,2,11
12,Chicago Bears,CHI,215,9,2,10
13,Miami Dolphins,MIA,219,9,2,14
14,Los Angeles Chargers,LAC,220,9,4,7
15,Cleveland Browns,CLE,221,9,3,13
16,Green Bay Packers,GB,233,9,5,13
17,Seattle Seahawks,SEA,236,9,4,9
18,Minnesota Vikings,MIN,238,9,3,7
19,Philadelphia Eagles,PHI,247,9,4,14
20,Tennessee Titans,TEN,261,9,3,13
21,Arizona Cardinals,ARI,267,10,3,12
22,New York Giants,NYG,269,10,4,10
23,New York Jets,NYJ,280,10,4,6
24,Dallas Cowboys,DAL,286,10,5,7
25,Jacksonville Jaguars,JAC,293,10,2,7
26,Atlanta Falcons,ATL,305,10,5,6
27,Carolina Panthers,CAR,311,10,4,13
28,Houston Texans,HOU,354,11,2,10
29,Detroit Lions,DET,379,11,5,9
30,Las Vegas Raiders,LV,381,11,4,8
31,Cincinnati Bengals,CIN,383,11,3,10
