,PLAYER NAME,TEAM,RK,TIERS,SOS SEASON,BYE WEEK
0,Travis Kelce,KC,14,2,3,12
1,Darren Waller,LV,24,3,4,8
2,George Kittle,SF,34,3,4,6
3,Mark Andrews,BAL,54,4,4,8
4,T.J. Hockenson,DET,55,4,4,9
5,Kyle Pitts,ATL,56,4,2,6
6,Noah Fant,DEN,80,5,4,11
7,Logan Thomas,WAS,85,6,3,9
8,Dallas Goedert,PHI,90,6,3,14
9,Robert Tonyan,GB,94,6,3,13
10,Tyler Higbee,LAR,101,6,2,11
11,Mike Gesicki,MIA,112,6,4,14
12,Irv Smith Jr.,MIN,115,6,2,7
13,Jonnu Smith,NE,116,6,5,14
14,Evan Engram,NYG,121,7,3,10
15,Rob Gronkowski,TB,132,7,3,9
16,Hunter Henry,NE,133,7,5,14
17,Gerald Everett,SEA,141,7,1,9
18,Jared Cook,LAC,144,7,3,7
19,Cole Kmet,CHI,145,7,1,10
20,Blake Jarwin,DAL,146,7,2,7
21,Austin Hooper,CLE,147,7,2,13
22,Adam Trautman,NO,150,7,4,6
23,Anthony Firkser,TEN,166,8,2,13
24,Eric Ebron,PIT,167,8,5,7
25,Zach Ertz,PHI,170,8,3,14
26,Hayden Hurst,ATL,218,9,2,6
27,Dawson Knox,BUF,224,9,2,7
28,O.J. Howard,TB,244,9,3,9
29,Dan Arnold,CAR,263,9,4,13
30,Chris Herndon IV,NYJ,271,10,3,6
31,Jack Doyle,IND,279,10,4,14
32,Jimmy Graham,CHI,284,10,1,10
33,Kyle Rudolph,NYG,316,10,3,10
34,Dalton Schultz,DAL,317,10,2,7
35,Pat Freiermuth,PIT,322,10,5,7
36,Mo Alie-Cox,IND,323,10,4,14
37,Ian Thomas,CAR,328,11,4,13
38,Donald Parham Jr.,LAC,333,11,3,7
39,Jordan Akins,HOU,336,11,4,10
40,Will Dissly,SEA,342,11,1,9
41,C.J. Uzomah,CIN,349,11,2,10
42,Harrison Bryant,CLE,355,11,2,13
43,David Njoku,CLE,356,11,2,13
44,Drew Sample,CIN,358,11,2,10
45,Tyler Conklin,MIN,370,11,2,7
46,Albert Okwuegbunam,DEN,372,11,4,11
47,Jacob Hollister,BUF,375,11,2,7
48,Cameron Brate,TB,382,11,3,9
49,Tyler Kroft,NYJ,386,12,3,6
50,Brevin Jordan,HOU,391,12,4,10
51,Tyler Eifert,FA,395,12,-,-
52,James O'Shaughnessy,JAC,397,12,4,7
53,Maxx Williams,ARI,400,12,2,12
54,Jacob Harris,LAR,409,12,2,11
55,Foster Moreau,LV,414,12,4,8
56,Geoff Swaim,TEN,416,12,2,13
57,Jace Sternberger,GB,428,12,3,13
58,Kylen Granson,IND,429,12,4,14
59,Nick Boyle,BAL,434,12,4,8
60,Kahale Warring,NE,436,12,5,14
61,Darren Fells,DET,438,12,4,9
62,Ryan Griffin,NYJ,439,12,3,6
63,Hunter Long,MIA,440,12,4,14
64,Tommy Tremble,CAR,450,12,4,13
65,Noah Gray,KC,455,12,3,12
