,PLAYER NAME,TEAM,RK,TIERS,SOS SEASON,BYE WEEK
0,Davante Adams,GB,7,1,1,13
1,Tyreek Hill,KC,9,2,3,12
2,Stefon Diggs,BUF,11,2,3,7
3,Calvin Ridley,ATL,15,2,4,6
4,DeAndre Hopkins,ARI,16,2,2,12
5,D.K. Metcalf,SEA,18,2,1,9
6,A.J. Brown,TEN,21,3,3,13
7,Justin Jefferson,MIN,22,3,3,7
8,Keenan Allen,LAC,23,3,3,7
9,Allen Robinson II,CHI,26,3,3,10
10,Terry McLaurin,WAS,27,3,3,9
11,CeeDee Lamb,DAL,29,3,1,7
12,Mike Evans,TB,35,4,2,9
13,Robert Woods,LAR,36,4,5,11
14,Chris Godwin,TB,37,4,2,9
15,Amari Cooper,DAL,38,4,1,7
16,Julio Jones,TEN,43,4,3,13
17,D.J. Moore,CAR,44,4,5,13
18,Cooper Kupp,LAR,45,4,5,11
19,Tyler Lockett,SEA,47,4,1,9
20,Diontae Johnson,PIT,49,4,2,7
21,Adam Thielen,MIN,51,4,3,7
22,Brandon Aiyuk,SF,58,5,5,6
23,Tee Higgins,CIN,59,5,2,10
24,Kenny Golladay,NYG,64,5,3,10
25,Odell Beckham Jr.,CLE,65,5,1,13
26,Chase Claypool,PIT,68,5,2,7
27,Ja'Marr Chase,CIN,70,5,2,10
28,Jerry Jeudy,DEN,76,5,4,11
29,JuJu Smith-Schuster,PIT,77,5,2,7
30,Courtland Sutton,DEN,78,5,4,11
31,Robby Anderson,CAR,79,5,5,13
32,Tyler Boyd,CIN,81,5,2,10
33,Brandin Cooks,HOU,87,6,3,10
34,Deebo Samuel,SF,88,6,5,6
35,D.J. Chark Jr.,JAC,91,6,5,7
36,Will Fuller V,MIA,98,6,3,14
37,DeVonta Smith,PHI,100,6,3,14
38,Antonio Brown,TB,102,6,2,9
39,Corey Davis,NYJ,104,6,4,6
40,Jarvis Landry,CLE,106,6,1,13
41,Curtis Samuel,WAS,109,6,3,9
42,Laviska Shenault Jr.,JAC,110,6,5,7
43,Mike Williams,LAC,113,6,3,7
44,Michael Gallup,DAL,114,6,1,7
45,Michael Thomas,NO,117,6,4,6
46,Marvin Jones Jr.,JAC,119,6,5,7
47,DeVante Parker,MIA,122,7,3,14
48,Jaylen Waddle,MIA,123,7,3,14
49,Michael Pittman Jr.,IND,124,7,5,14
50,Darnell Mooney,CHI,125,7,3,10
51,Marquise Brown,BAL,126,7,2,8
52,Mecole Hardman,KC,135,7,3,12
53,T.Y. Hilton,IND,136,7,5,14
54,Russell Gage,ATL,139,7,4,6
55,Cole Beasley,BUF,142,7,3,7
56,Henry Ruggs III,LV,143,7,1,8
57,Nelson Agholor,NE,151,7,4,14
58,Elijah Moore,NYJ,152,7,4,6
59,Sterling Shepard,NYG,154,7,3,10
60,Jalen Reagor,PHI,156,7,3,14
61,Tre'Quan Smith,NO,158,8,4,6
62,Jakobi Meyers,NE,159,8,4,14
63,Rashod Bateman,BAL,161,8,2,8
64,Jamison Crowder,NYJ,163,8,4,6
65,Gabriel Davis,BUF,168,8,3,7
66,Emmanuel Sanders,BUF,169,8,3,7
67,Rondale Moore,ARI,173,8,2,12
68,John Brown,LV,174,8,1,8
69,Christian Kirk,ARI,180,8,2,12
70,Parris Campbell,IND,182,8,5,14
71,Bryan Edwards,LV,185,8,1,8
72,Darius Slayton,NYG,189,8,3,10
73,Breshad Perriman,DET,191,8,1,9
74,Randall Cobb,GB,196,8,1,13
75,A.J. Green,ARI,198,8,2,12
76,Amon-Ra St. Brown,DET,202,8,1,9
77,Sammy Watkins,BAL,203,8,2,8
78,Terrace Marshall Jr.,CAR,207,8,5,13
79,Allen Lazard,GB,208,9,1,13
80,Marquez Valdes-Scantling,GB,222,9,1,13
81,Tyrell Williams,DET,226,9,1,9
82,Van Jefferson,LAR,241,9,5,11
83,Tim Patrick,DEN,243,9,4,11
84,Josh Reynolds,TEN,246,9,3,13
85,DeSean Jackson,LAR,248,9,5,11
86,Denzel Mims,NYJ,249,9,4,6
87,Hunter Renfrow,LV,250,9,1,8
88,KJ Hamler,DEN,251,9,4,11
89,Marquez Callaway,NO,252,9,4,6
90,Anthony Miller,HOU,258,9,3,10
91,Kadarius Toney,NYG,264,9,3,10
92,Nico Collins,HOU,268,10,3,10
93,James Washington,PIT,273,10,2,7
94,Amari Rodgers,GB,276,10,1,13
95,Rashard Higgins,CLE,288,10,1,13
96,Preston Williams,MIA,291,10,3,14
97,Keke Coutee,HOU,292,10,3,10
98,N'Keal Harry,NE,294,10,4,14
99,Quintez Cephus,DET,296,10,1,9
100,Zach Pascal,IND,297,10,5,14
101,Keelan Cole Sr.,NYJ,299,10,4,6
102,Donovan Peoples-Jones,CLE,300,10,1,13
103,Kendrick Bourne,NE,301,10,4,14
104,Tyron Johnson,LAC,303,10,3,7
105,Travis Fulgham,PHI,304,10,3,14
106,Dyami Brown,WAS,309,10,3,9
107,D'Wayne Eskridge,SEA,310,10,1,9
108,Scotty Miller,TB,312,10,2,9
109,Greg Ward,PHI,325,10,3,14
