"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"1",1,"Christian McCaffrey",CAR,"RB1","13","2 out of 5 stars","0"
"2",1,"Dalvin Cook",MIN,"RB2","7","3 out of 5 stars","0"
"3",1,"Derrick Henry",TEN,"RB3","13","3 out of 5 stars","0"
"4",1,"Alvin Kamara",NO,"RB4","6","2 out of 5 stars","0"
"5",1,"Ezekiel Elliott",DAL,"RB5","7","2 out of 5 stars","0"
"6",1,"Davante Adams",GB,"WR1","13","1 out of 5 stars","+4"
"7",1,"Aaron Jones",GB,"RB6","13","0 out of 5 stars","+2"
"8",2,"Tyreek Hill",KC,"WR2","12","3 out of 5 stars","+3"
"9",2,"Saquon Barkley",NYG,"RB7","10","2 out of 5 stars","-2"
"10",2,"Nick Chubb",CLE,"RB8","13","4 out of 5 stars","-4"
"11",2,"Stefon Diggs",BUF,"WR3","7","3 out of 5 stars","+2"
"12",2,"Austin Ekeler",LAC,"RB9","7","4 out of 5 stars","+2"
"13",2,"Travis Kelce",KC,"TE1","12","3 out of 5 stars","-1"
"14",2,"Jonathan Taylor",IND,"RB10","14","4 out of 5 stars","-6"
"15",2,"Calvin Ridley",ATL,"WR4","6","4 out of 5 stars","+4"
"16",2,"DeAndre Hopkins",ARI,"WR5","12","2 out of 5 stars","+1"
"17",2,"Antonio Gibson",WAS,"RB11","9","3 out of 5 stars","-1"
"18",2,"Joe Mixon",CIN,"RB12","10","3 out of 5 stars","+3"
"19",2,"D.K. Metcalf",SEA,"WR6","9","1 out of 5 stars","+1"
"20",3,"Najee Harris",PIT,"RB13","7","5 out of 5 stars","-5"
"21",3,"Justin Jefferson",MIN,"WR7","7","3 out of 5 stars","+1"
"22",3,"A.J. Brown",TEN,"WR8","13","3 out of 5 stars","+3"
"23",3,"Clyde Edwards-Helaire",KC,"RB14","12","4 out of 5 stars","0"
"24",3,"Keenan Allen",LAC,"WR9","7","3 out of 5 stars","+4"
"25",3,"Darren Waller",LV,"TE2","8","4 out of 5 stars","-1"
"26",3,"Allen Robinson II",CHI,"WR10","10","3 out of 5 stars","+10"
"27",3,"Terry McLaurin",WAS,"WR11","9","3 out of 5 stars","+5"
"28",3,"Patrick Mahomes II",KC,"QB1","12","4 out of 5 stars","-10"
"29",3,"J.K. Dobbins",BAL,"RB15","8","4 out of 5 stars","-3"
"30",3,"Chris Carson",SEA,"RB16","9","1 out of 5 stars","+1"
"31",3,"D'Andre Swift",DET,"RB17","9","0 out of 5 stars","+4"
"32",3,"CeeDee Lamb",DAL,"WR12","7","1 out of 5 stars","+6"
"33",3,"David Montgomery",CHI,"RB18","10","3 out of 5 stars","-4"
"34",3,"George Kittle",SF,"TE3","6","4 out of 5 stars","-7"
"35",4,"Mike Evans",TB,"WR13","9","2 out of 5 stars","+2"
"36",4,"Robert Woods",LAR,"WR14","11","5 out of 5 stars","+7"
"37",4,"Amari Cooper",DAL,"WR15","7","1 out of 5 stars","+5"
"38",4,"Chris Godwin",TB,"WR16","9","2 out of 5 stars","+3"
"39",4,"Miles Sanders",PHI,"RB19","14","3 out of 5 stars","-5"
"40",4,"Julio Jones",TEN,"WR17","13","3 out of 5 stars","0"
"41",4,"Darrell Henderson",LAR,"RB20","11","4 out of 5 stars","+11"
"42",4,"D.J. Moore",CAR,"WR18","13","5 out of 5 stars","+15"
"43",4,"Josh Jacobs",LV,"RB21","8","2 out of 5 stars","-13"
"44",4,"Josh Allen",BUF,"QB2","7","1 out of 5 stars","-11"
"45",4,"Cooper Kupp",LAR,"WR19","11","5 out of 5 stars","+4"
"46",4,"Mike Davis",ATL,"RB22","6","2 out of 5 stars","+12"
"47",4,"Myles Gaskin",MIA,"RB23","14","4 out of 5 stars","-3"
"48",4,"Tyler Lockett",SEA,"WR20","9","1 out of 5 stars","+6"
"49",4,"Diontae Johnson",PIT,"WR21","7","2 out of 5 stars","+7"
"50",4,"Travis Etienne",JAC,"RB24","7","4 out of 5 stars","+15"
"51",4,"Kareem Hunt",CLE,"RB25","13","4 out of 5 stars","-4"
"52",4,"Adam Thielen",MIN,"WR22","7","3 out of 5 stars","-6"
"53",4,"Kyler Murray",ARI,"QB3","12","2 out of 5 stars","-14"
"54",4,"T.J. Hockenson",DET,"TE4","9","4 out of 5 stars","+1"
"55",4,"Mark Andrews",BAL,"TE5","8","4 out of 5 stars","-2"
"56",4,"Lamar Jackson",BAL,"QB4","8","2 out of 5 stars","-11"
"57",5,"Kyle Pitts",ATL,"TE6","6","2 out of 5 stars","-9"
"58",5,"Brandon Aiyuk",SF,"WR23","6","5 out of 5 stars","+6"
"59",5,"Dak Prescott",DAL,"QB5","7","2 out of 5 stars","-8"
"60",5,"Chase Edmonds",ARI,"RB26","12","3 out of 5 stars","+3"
"61",5,"Tee Higgins",CIN,"WR24","10","2 out of 5 stars","+12"
"62",5,"Kenny Golladay",NYG,"WR25","10","3 out of 5 stars","0"
"63",5,"Javonte Williams",DEN,"RB27","11","5 out of 5 stars","+5"
"64",5,"Ja'Marr Chase",CIN,"WR26","10","2 out of 5 stars","+6"
"65",5,"Damien Harris",NE,"RB28","14","3 out of 5 stars","+10"
"66",5,"Odell Beckham Jr.",CLE,"WR27","13","1 out of 5 stars","+1"
"67",5,"Russell Wilson",SEA,"QB6","9","0 out of 5 stars","-6"
"68",5,"Raheem Mostert",SF,"RB29","6","3 out of 5 stars","-2"
"69",5,"Melvin Gordon III",DEN,"RB30","11","5 out of 5 stars","+7"
"70",5,"Aaron Rodgers",GB,"QB7","13","2 out of 5 stars","-11"
"71",5,"James Robinson",JAC,"RB31","7","4 out of 5 stars","-21"
"72",5,"Chase Claypool",PIT,"WR28","7","2 out of 5 stars","0"
"73",5,"Michael Carter",NYJ,"RB32","6","4 out of 5 stars","+6"
"74",5,"Ronald Jones II",TB,"RB33","9","0 out of 5 stars","-3"
"75",5,"Justin Herbert",LAC,"QB8","7","2 out of 5 stars","-15"
"76",5,"Courtland Sutton",DEN,"WR29","11","4 out of 5 stars","+9"
"77",5,"Trey Sermon",SF,"RB34","6","3 out of 5 stars","+23"
"78",5,"JuJu Smith-Schuster",PIT,"WR30","7","2 out of 5 stars","+2"
"79",5,"Robby Anderson",CAR,"WR31","13","5 out of 5 stars","+4"
"80",6,"David Johnson",HOU,"RB35","10","4 out of 5 stars","+2"
"81",6,"Jerry Jeudy",DEN,"WR32","11","4 out of 5 stars","+14"
"82",6,"Dallas Goedert",PHI,"TE7","14","3 out of 5 stars","+9"
"83",6,"Noah Fant",DEN,"TE8","11","4 out of 5 stars","-5"
